id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Saffron Pulse,world,adventurous,0.67,104,0.58,0.69,0.33
12,Glass Cathedral,Quiet Metric,classical,calm,0.22,66,0.52,0.21,0.96
13,Bassline Metro,Nova Transit,house,euphoric,0.88,126,0.83,0.91,0.08
14,Frontier Bloom,Cedar & Sky,country,warm,0.49,96,0.74,0.57,0.73
15,Neon Alley Cipher,Byte Krew,hip hop,confident,0.79,92,0.68,0.84,0.19
16,Brass Sunrise,Second Line Club,funk,playful,0.72,112,0.80,0.86,0.27
17,Afterglow Prayer,Vocal Tides,gospel,uplifting,0.61,88,0.89,0.63,0.64
18,Mono no Aware,Willow Circuit,folk,melancholic,0.31,74,0.47,0.39,0.90
